Time,Event,Source
2022年09月26日, 如 今晚 場票 券 即將 售罄 ， 證明 賀瓏 不僅 有 才華 ， 也 有 一群 默默 守護 的 死忠 粉絲 ， 等待 他 站 上 舞台 發光 發熱 。,23
2021年, （ 薩泰爾 提供 ）  去年 「 龍 K 之 亂 」 在 喜劇 圈 掀起 風暴 ， 當時 的 薩泰 爾班 底 老 K 調侃 龍龍 過去 情事 ， 讓 身為 龍龍 前 男友 的 賀瓏 意外 成為 焦點 。,23
2022年09月25日, 對 此 ， 龍龍 昨 （ 6日 ） 再次 出面 ， 表示 想 跟 施暴者 和解 ， 從頭到尾 要求 不多 ， 不過 影片 中 卻 沒 談到 自己 公審 髮型 師 的 行為 ， 遭到 網友 砲轟 ： 「 現在 絕口不提 ， 從未 見過 這麼沒品 的 人 。,25
2022年09月25日, （ 翻攝 自 IG  @ chienyu1006 ）  針對 這起 事件 ， 龍龍 昨日 透過 影片 表示 ， 這 是 一個 職場 霸凌 的 性 羞辱 事件 ， 與 女權 無關 ， 性 羞辱 是 欺負 、 侮辱 ， 不 是 笑話 、 也 不 好 笑 。,25
2022年09月26日, 最後 也 說 ： 「 老 K 今天 雖然 沒有 道歉 ， 但 不 代表 這 整件 事情 沒有 意義 。,25
2022年09月26日, 今 （ 1日 ） 「 薩泰爾 娛樂 」 在 臉書 宣布 《 炎 上 》 謝和弦 及 愛 莉莎 莎場 將 延期 至 明年 ,26
2022年2月,2月 ， 儘管 對 霸凌 事件隻字 未 提 ， 仍 被 網友 灌爆 留言 直嗆 ： 「 現在 輪到 誰 炎 上 啊 ？,26
2022年09月25日, （ 翻攝 自 薩泰 爾 娛樂   臉書 ）  根據 《 ETtoday 》 昨 （ 30日 ） 報導 ， 龍龍 經紀人 向 「 薩泰爾 」 反 應該 事件 時 ， 卻 被 反 要求 先 去 蓋 公司章 ， 否則 就 會 收到 律師 寄存 證信函 。,26
2022年09月26日, 而 《 炎 上 》 謝和弦 及 愛 莉莎 莎場 ， 先前 已經 因 疫情 數度 延期 ， 原訂 於 今 、 明天 先後 演出 ,26
2022年09月26日, 今日 卻 再 宣布 延期 至 明年 ,26
2022年2月12,2月 12 ,26
2022年09月13日, 13日 ， 原因為 「 原 《 炎 上   愛 莉莎 莎 》 場次 參與 之 火伴 三 原 慧悟 、 聖結 石 因 行程 安排 無法 參與 演出 ， 歡迎 新火伴 酸酸 、 見習 網 美 小吳 、 大蛇丸 加入 。,26
2022年09月26日,  今日 推薦 ： 小眼辱華 接力 ！,27
2022年08月27日,密爾瓦基 釀酒人 今 （ 27日 ） 派出 Frddy   Pr 迎戰 芝加哥 小熊 ， 繳出 6局 5K 僅 被 敲出 1支 安打 ， 沒有 失分 ， 無奈 接手 的 牛棚 丟掉 領先 分數 ， 無緣勝 投 。,29
